id,label,hemisphere,structure,x,y,z
1,lateralorbitofrontal_1_rh,R,cortex,17.8167277574142,19.67910696434521,-22.424525158280574
2,lateralorbitofrontal_2_rh,R,cortex,32.324615384615385,24.380307692307696,-17.040615384615386
3,lateralorbitofrontal_3_rh,R,cortex,24.01021039603961,38.824876237623755,-17.619740099009903
4,lateralorbitofrontal_4_rh,R,cortex,15.280525502318397,52.095054095826896,-20.723338485316845
5,parsorbitalis_1_rh,R,cortex,42.335167464114846,41.140909090909105,-13.794976076555024
6,frontalpole_1_rh,R,cortex,6.9912727272727295,65.97963636363636,-12.848727272727274
7,medialorbitofrontal_1_rh,R,cortex,5.932154247607997,50.43954769498404,-13.533777906639607
8,medialorbitofrontal_2_rh,R,cortex,4.308488612836442,32.18322981366461,-23.02277432712215
9,medialorbitofrontal_3_rh,R,cortex,5.167188478396994,17.048841577958683,-17.333750782717594
10,parstriangularis_1_rh,R,cortex,38.12373907195695,28.369199731002027,1.4465366509751192
11,parstriangularis_2_rh,R,cortex,50.221164021164014,32.7331569664903,2.535626102292767
12,parsopercularis_1_rh,R,cortex,46.41056422569028,18.854741896758696,14.47739095638255
13,parsopercularis_2_rh,R,cortex,48.4351371386212,13.07462317766246,12.78379046207067
14,rostralmiddlefrontal_1_rh,R,cortex,28.339370654957918,42.49725576289791,35.0482985729967
15,rostralmiddlefrontal_2_rh,R,cortex,44.696991234304676,27.308220800758107,26.38403221985311
16,rostralmiddlefrontal_3_rh,R,cortex,37.49564611633576,43.5496342737722,21.628178335074892
17,rostralmiddlefrontal_4_rh,R,cortex,34.67329047340738,52.55639976621859,6.5321449444769115
18,rostralmiddlefrontal_5_rh,R,cortex,22.090958904109584,62.91671232876712,6.200547945205486
19,rostralmiddlefrontal_6_rh,R,cortex,27.58368376787216,59.12755817213343,-10.027474067844125
20,superiorfrontal_1_rh,R,cortex,8.861111111111114,59.28773584905662,6.0985324947589135
21,superiorfrontal_2_rh,R,cortex,7.419420720386185,53.60675826216115,22.963609357593768
22,superiorfrontal_3_rh,R,cortex,7.233412106889659,40.59280130885293,38.92328667514997
23,superiorfrontal_4_rh,R,cortex,16.05193979224083,35.65825736697053,47.72291710833157
24,superiorfrontal_5_rh,R,cortex,8.636945144407832,18.429540608645084,52.02461717387091
