id,label,hemisphere,structure,x,y,z
1,lateralorbitofrontal_1_rh,R,cortex,19.22138836772983,13.624140087554736,-22.19699812382739
2,lateralorbitofrontal_2_rh,R,cortex,30.386388583973655,24.424807903402865,-9.071350164654227
3,lateralorbitofrontal_3_rh,R,cortex,32.94021505376344,24.376344086021504,-20.351827956989247
4,lateralorbitofrontal_4_rh,R,cortex,15.997749437359346,26.822955738934724,-22.766691672918228
5,lateralorbitofrontal_5_rh,R,cortex,16.838532110091748,37.426605504587144,-22.8954128440367
6,lateralorbitofrontal_6_rh,R,cortex,27.780204460966544,39.446096654275095,-14.914962825278813
7,lateralorbitofrontal_7_rh,R,cortex,15.386799148332145,52.00283889283179,-20.727466288147625
8,parsorbitalis_1_rh,R,cortex,43.5464333781965,33.5352175863616,-14.766262898160612
9,parsorbitalis_2_rh,R,cortex,41.09567901234567,49.6661522633745,-12.601851851851855
10,frontalpole_1_rh,R,cortex,7.1564048124557615,66.00920028308565,-12.777070063694268
11,medialorbitofrontal_1_rh,R,cortex,5.312016865776528,56.25298664792692,-13.366127898805338
12,medialorbitofrontal_2_rh,R,cortex,6.392127553562531,46.203786746387635,-13.413054309915296
13,medialorbitofrontal_3_rh,R,cortex,4.151515151515156,35.872922776148584,-21.651026392961874
14,medialorbitofrontal_4_rh,R,cortex,4.495348837209306,27.75581395348837,-25.091860465116277
15,medialorbitofrontal_5_rh,R,cortex,5.16272009714632,17.383120825743788,-17.224650880388587
16,parstriangularis_1_rh,R,cortex,37.00456621004565,30.913242009132432,-1.4337899543378967
17,parstriangularis_2_rh,R,cortex,49.49558823529412,26.548039215686288,6.7024509803921575
18,parstriangularis_3_rh,R,cortex,50.04718761796906,34.06870517176293,-3.764816912042278
19,parstriangularis_4_rh,R,cortex,47.3159509202454,35.28588957055214,8.761963190184048
20,parsopercularis_1_rh,R,cortex,51.731142643764,21.086631814787154,20.237490664675136
21,parsopercularis_2_rh,R,cortex,39.865313653136525,16.34963099630997,8.086715867158674
22,parsopercularis_3_rh,R,cortex,51.114633365353825,13.097982708933728,8.892090938200454
23,parsopercularis_4_rh,R,cortex,40.12451361867704,12.880350194552534,23.175097276264594
24,rostralmiddlefrontal_1_rh,R,cortex,31.467801134467805,35.390056723390046,39.15915915915916
25,rostralmiddlefrontal_2_rh,R,cortex,46.68544137022397,25.424571805006593,30.146245059288532
26,rostralmiddlefrontal_3_rh,R,cortex,39.63005272407733,32.72319859402461,16.501757469244282
27,rostralmiddlefrontal_4_rh,R,cortex,42.57508450024142,39.40608401738291,24.685659101883147
28,rostralmiddlefrontal_5_rh,R,cortex,29.476666666666674,39.412499999999994,23.739999999999995
29,rostralmiddlefrontal_6_rh,R,cortex,37.01076923076923,49.048076923076934,18.004230769230773
30,rostralmiddlefrontal_7_rh,R,cortex,39.649029126213605,53.44320388349516,3.8946601941747616
31,rostralmiddlefrontal_8_rh,R,cortex,26.21254071661238,50.99104234527687,10.811074918566774
32,rostralmiddlefrontal_9_rh,R,cortex,24.387364921030752,51.7581047381546,29.96259351620948
33,rostralmiddlefrontal_10_rh,R,cortex,23.4874213836478,62.52470799640611,12.541329739442943
34,rostralmiddlefrontal_11_rh,R,cortex,19.9520295202952,63.45756457564576,-4.56752767527675
35,rostralmiddlefrontal_12_rh,R,cortex,30.41218925421009,56.63352044907779,-2.9751403368083373
36,rostralmiddlefrontal_13_rh,R,cortex,26.24293785310735,60.4541503694046,-13.503259452411996
